Final_energy Elapsed_time Temperature B_field System_size No_of_ranks No_of_flips Version
-61865.8 0.264406 0.001 0 373248 8 172800 2
-42913.7 0.110718 0.001 0 373248 27 172800 2
-45378.5 0.0507526 0.001 0 373248 64 172800 2
-61865.8 0.262553 0.001 0 373248 8 172800 2
-42913.7 0.111185 0.001 0 373248 27 172800 2
-45378.5 0.0514813 0.001 0 373248 64 172800 2
-61865.8 0.263085 0.001 0 373248 8 172800 2
-42913.7 0.102302 0.001 0 373248 27 172800 2
-45378.5 0.0520155 0.001 0 373248 64 172800 2
-61865.8 0.275826 0.001 0 373248 8 172800 2
-42913.7 0.110885 0.001 0 373248 27 172800 2
-45378.5 0.0463186 0.001 0 373248 64 172800 2
-61865.8 0.28544 0.001 0 373248 8 172800 2
-42913.7 0.102312 0.001 0 373248 27 172800 2
-45378.5 0.102819 0.001 0 373248 64 172800 2
-236934 2.39272 0.001 0 373248 8 1728000 2
-234101 0.920155 0.001 0 373248 27 1728000 2
-232796 0.395346 0.001 0 373248 64 1728000 2
-236934 2.36496 0.001 0 373248 8 1728000 2
-234101 0.931654 0.001 0 373248 27 1728000 2
-232796 0.39759 0.001 0 373248 64 1728000 2
-236934 2.37781 0.001 0 373248 8 1728000 2
-234101 0.91988 0.001 0 373248 27 1728000 2
-232796 0.395533 0.001 0 373248 64 1728000 2
-236934 2.36843 0.001 0 373248 8 1728000 2
-234101 0.934864 0.001 0 373248 27 1728000 2
-232796 0.403914 0.001 0 373248 64 1728000 2
-236934 2.34392 0.001 0 373248 8 1728000 2
-234101 0.922997 0.001 0 373248 27 1728000 2
-232796 0.395329 0.001 0 373248 64 1728000 2
-440493 23.5346 0.001 0 373248 8 17280000 2
-441303 9.15274 0.001 0 373248 27 17280000 2
-440946 3.85171 0.001 0 373248 64 17280000 2
-440493 23.4214 0.001 0 373248 8 17280000 2
-441303 9.07272 0.001 0 373248 27 17280000 2
-440946 3.84942 0.001 0 373248 64 17280000 2
-440493 23.3633 0.001 0 373248 8 17280000 2
-441303 9.17636 0.001 0 373248 27 17280000 2
-440946 3.89474 0.001 0 373248 64 17280000 2
-440493 23.4898 0.001 0 373248 8 17280000 2
-441303 9.06328 0.001 0 373248 27 17280000 2
-440946 3.84766 0.001 0 373248 64 17280000 2
-440493 23.3261 0.001 0 373248 8 17280000 2
-441303 9.1524 0.001 0 373248 27 17280000 2
-440946 3.90132 0.001 0 373248 64 17280000 2
29018.8 0.0528868 0.001 0 592704 8 1728 2
5871.68 0.0292129 0.001 0 592704 27 1728 2
20327.4 0.00795383 0.001 0 592704 64 1728 2
29018.8 0.07337 0.001 0 592704 8 1728 2
5871.68 0.0169798 0.001 0 592704 27 1728 2
20327.4 0.0166257 0.001 0 592704 64 1728 2
29018.8 0.0528477 0.001 0 592704 8 1728 2
5871.68 0.0281176 0.001 0 592704 27 1728 2
20327.4 0.00792618 0.001 0 592704 64 1728 2
29018.8 0.0830036 0.001 0 592704 8 1728 2
5871.68 0.0163839 0.001 0 592704 27 1728 2
20327.4 0.00788986 0.001 0 592704 64 1728 2
29018.8 0.0848668 0.001 0 592704 8 1728 2
5871.68 0.0162363 0.001 0 592704 27 1728 2
20327.4 0.00799901 0.001 0 592704 64 1728 2
22091.5 0.0741905 0.001 0 592704 8 17280 2
745.93 0.0255503 0.001 0 592704 27 17280 2
13855.1 0.0115266 0.001 0 592704 64 17280 2
22091.5 0.0740317 0.001 0 592704 8 17280 2
745.93 0.0373157 0.001 0 592704 27 17280 2
13855.1 0.0118249 0.001 0 592704 64 17280 2
22091.5 0.0734751 0.001 0 592704 8 17280 2
745.93 0.0257744 0.001 0 592704 27 17280 2
13855.1 0.0201142 0.001 0 592704 64 17280 2
22091.5 0.0744461 0.001 0 592704 8 17280 2
745.93 0.0254851 0.001 0 592704 27 17280 2
13855.1 0.0115813 0.001 0 592704 64 17280 2
22091.5 0.104594 0.001 0 592704 8 17280 2
745.93 0.0250518 0.001 0 592704 27 17280 2
13855.1 0.018423 0.001 0 592704 64 17280 2
-38268.5 0.283985 0.001 0 592704 8 172800 2
-51337.8 0.109237 0.001 0 592704 27 172800 2
-41692.2 0.0487112 0.001 0 592704 64 172800 2
-38268.5 0.313388 0.001 0 592704 8 172800 2
-51337.8 0.118546 0.001 0 592704 27 172800 2
-41692.2 0.0572638 0.001 0 592704 64 172800 2
-38268.5 0.311743 0.001 0 592704 8 172800 2
-51337.8 0.108155 0.001 0 592704 27 172800 2
-41692.2 0.0488421 0.001 0 592704 64 172800 2
-38268.5 0.311874 0.001 0 592704 8 172800 2
-51337.8 0.121503 0.001 0 592704 27 172800 2
-41692.2 0.0488415 0.001 0 592704 64 172800 2
-38268.5 0.284504 0.001 0 592704 8 172800 2
